Wall time,Step,Value
1713860039.997437,1854897,9.883515357971191
1713860039.997728,1854912,9.796942710876465
1713860039.99805,1854930,9.681124687194824
1713860039.998337,1854942,9.866525650024414
1713860039.998621,1854954,9.971606254577637
1713860039.998906,1854960,9.110907554626465
1713860039.999246,1854960,9.857285499572754
1713860039.999533,1854975,9.91972541809082
1713860039.999817,1854999,9.789270401000977
1713860040.000115,1855020,9.739067077636719
1713860040.000422,1855023,9.594987869262695
1713860040.000698,1855035,9.822211265563965
1713860040.000981,1855047,9.901395797729492
1713860040.001304,1855059,9.787515640258789
1713860040.001589,1855068,9.82188892364502
1713860040.001867,1855098,9.697237014770508
1713860040.00216,1855113,8.283186912536621
1713860040.002509,1855128,9.95559310913086
1713860040.002794,1855137,-2.4060633182525635
1713860040.003087,1855143,6.681118488311768
1713860040.003378,1855155,9.841180801391602
1713860040.003696,1855161,10.0
1713860040.00398,1855176,-6.3389153480529785
1713860040.004263,1855182,9.892494201660156
1713860040.004614,1855191,9.401176452636719
1713860040.0049,1855200,9.933517456054688
1713860040.005185,1855209,9.976176261901855
1713860040.005467,1855218,9.982555389404297
1713860040.005812,1855221,9.768828392028809
1713860040.006094,1855230,9.34294605255127
1713860040.006386,1855266,9.707575798034668
1713860040.006674,1855287,9.912236213684082
1713860040.007013,1855299,9.604813575744629
1713860040.007304,1855308,5.047739028930664
1713860040.007588,1855341,9.67097282409668
1713860040.007869,1855341,9.776652336120605
1713860040.008186,1855353,-2.763430595397949
1713860040.008476,1855365,9.677335739135742
1713860040.008791,1855389,9.796282768249512
1713860040.009114,1855404,8.785842895507812
1713860040.009402,1855407,9.753024101257324
1713860040.009693,1855413,-2.0133163928985596
1713860040.010013,1855422,-5.798972129821777
1713860040.010323,1855443,9.760710716247559
1713860040.01061,1855461,-6.884982109069824
1713860040.010898,1855473,7.2667622566223145
1713860040.011226,1855479,9.78091812133789
1713860040.01153,1855488,9.86326789855957
1713860040.01182,1855518,-2.805077075958252
1713860040.012123,1855545,9.88144588470459
1713860040.012433,1855569,8.419191360473633
1713860040.01272,1855569,-3.970168113708496
1713860040.013012,1855599,9.879372596740723
1713860040.0133,1855602,7.5563273429870605
1713860040.013623,1855608,8.974162101745605
1713860040.013915,1855632,9.832837104797363
1713860040.014209,1855656,9.588631629943848
1713860040.014514,1855662,9.652680397033691
1713860040.014823,1855674,9.720197677612305
1713860040.015108,1855683,9.84553050994873
1713860040.015409,1855701,9.766263008117676
1713860040.015731,1855737,7.761595249176025
1713860040.016022,1855746,7.303618907928467
1713860040.016331,1855758,9.486372947692871
1713860040.016613,1855764,10.0
1713860040.016933,1855797,9.666231155395508
1713860040.017217,1855818,9.066311836242676
1713860040.017529,1855830,9.81113052368164
1713860040.017828,1855863,9.702465057373047
1713860040.018134,1855872,8.964942932128906
1713860040.018415,1855878,9.996894836425781
1713860040.018714,1855884,10.0
1713860040.019039,1855893,6.803168773651123
1713860040.019329,1855926,9.605998039245605
1713860040.019612,1855932,9.804945945739746
1713860040.019892,1855944,9.599139213562012
1713860040.020206,1855947,9.902242660522461
1713860040.020489,1855953,10.0
1713860040.020771,1855980,9.781681060791016
1713860040.02107,1855986,9.994145393371582
1713860040.021406,1856004,9.456029891967773
1713860040.021693,1856013,9.622432708740234
1713860040.022001,1856055,9.732158660888672
1713860040.022328,1856058,9.495564460754395
1713860040.022609,1856064,10.0
1713860040.022889,1856097,9.824158668518066
1713860040.023172,1856100,9.706490516662598
1713860040.023496,1856103,10.0
1713860040.023777,1856121,9.91357135772705
1713860040.024057,1856127,10.0
1713860040.024337,1856127,-4.600647449493408
1713860040.024677,1856139,9.771404266357422
1713860040.024953,1856151,9.893427848815918
